JobID         AllocCPUS    Elapsed 
28750425              1   00:08:44 
28750426              1   00:08:52 
28750427              1   00:08:45 
28750428              1   00:08:49 
28750429              1   00:08:46 
28750430              1   00:08:44 
28750431              1   00:08:47 
28750432              1   00:08:44 
28750433              1   00:08:45 
28750434              1   00:08:46 
28750435              1   00:08:45 
28750436              1   00:08:44 
28750437              1   00:08:44 
28750438              1   00:08:46 
28750439              1   00:08:46 
28750440              1   00:08:49 
28750441              1   00:08:47 
28750442              1   00:09:09 
28750443              1   00:09:14 
28750444              1   00:09:12 
28750445              1   00:09:10 
28750446              1   00:09:11 
28750447              1   00:09:10 
28750448              1   00:09:09 
28750449              1   00:09:10 
28750450              1   00:09:18 
28750451              1   00:09:08 
28750452              1   00:09:10 
28750453              1   00:09:10 
28750454              1   00:09:12 
28750455              1   00:09:10 
28750456              1   00:09:12 
28750457              1   00:09:15 
28750458              1   00:09:10 
28750459              1   00:09:10 
28750460              1   00:09:11 
28750461              1   00:09:11 
28750462              1   00:09:09 
28750463              1   00:09:11 
28750464              1   00:10:27 
28750465              1   00:09:09 
28750466              1   00:09:10 
28750467              1   00:09:15 
28750468              1   00:09:09 
28750469              1   00:09:11 
28750470              1   00:09:11 
28750471              1   00:09:12 
28750472              1   00:09:02 
28750473              1   00:09:00 
28750474              1   00:09:00 
28750475              1   00:09:00 
28750476              1   00:09:03 
28750477              1   00:09:00 
28750478              1   00:09:00 
28750479              1   00:09:00 
28750480              1   00:09:00 
28750481              1   00:09:00 
28750482              1   00:09:01 
28750483              1   00:09:13 
28750484              1   00:09:00 
28750485              1   00:09:00 
28750486              1   00:09:14 
28750487              1   00:09:06 
28750488              1   00:09:00 
28750489              1   00:09:04 
28750490              1   00:09:03 
28750491              1   00:09:00 
28750492              1   00:09:03 
28750493              1   00:09:00 
28750494              1   00:09:01 
28750495              1   00:09:00 
28750496              1   00:09:01 
28750497              1   00:09:02 
28750498              1   00:09:04 
28750499              1   00:09:00 
28750500              1   00:08:43 
28750501              1   00:08:59 
28750502              1   00:08:43 
28750503              1   00:08:43 
28750504              1   00:08:42 
28750505              1   00:08:43 
28750506              1   00:08:42 
28750507              1   00:08:42 
28750508              1   00:08:55 
28750509              1   00:08:54 
28750510              1   00:08:42 
28750511              1   00:08:48 
28750512              1   00:08:44 
28750513              1   00:08:46 
28750514              1   00:09:04 
28750515              1   00:09:04 
28750516              1   00:09:09 
28750517              1   00:09:05 
28750518              1   00:09:04 
28750519              1   00:09:04 
28750520              1   00:09:07 
28750521              1   00:09:05 
28750522              1   00:09:05 
28750523              1   00:09:04 
28750524              1   00:09:06 
28750525              1   00:09:04 
28750526              1   00:09:04 
28750527              1   00:09:05 
28750528              1   00:09:05 
28750529              1   00:09:04 
28750530              1   00:09:04 
28750531              1   00:09:05 
28750532              1   00:09:05 
28750533              1   00:09:06 
28750534              1   00:09:05 
28750535              1   00:09:06 
28750536              1   00:09:05 
28750537              1   00:09:05 
28750538              1   00:09:06 
28750539              1   00:09:05 
28750540              1   00:09:09 
28750541              1   00:09:05 
28750542              1   00:09:14 
28750543              1   00:09:06 
28750544              1   00:09:16 
28750545              1   00:09:04 
28750546              1   00:09:05 
28750547              1   00:09:05 
28750548              1   00:09:07 
28750549              1   00:09:07 
28750550              1   00:09:08 
28750551              1   00:09:07 
28750552              1   00:09:07 
28750553              1   00:09:07 
28750554              1   00:09:06 
28750555              1   00:09:07 
28750556              1   00:09:06 
28750557              1   00:09:08 
28750558              1   00:09:06 
28750559              1   00:09:06 
28750560              1   00:09:06 
28750561              1   00:09:07 
28750562              1   00:09:09 
28750563              1   00:09:07 
28750564              1   00:09:06 
28750565              1   00:09:03 
28750566              1   00:09:03 
28750567              1   00:09:05 
28750568              1   00:09:11 
28750569              1   00:09:02 
28750570              1   00:09:06 
28750571              1   00:09:03 
28750572              1   00:09:04 
28750573              1   00:09:05 
28750574              1   00:09:02 
28750575              1   00:09:03 
28750576              1   00:09:03 
28750577              1   00:09:03 
28750578              1   00:09:03 
28750579              1   00:09:12 
28750580              1   00:09:03 
28750581              1   00:09:02 
28750582              1   00:08:55 
28750583              1   00:08:59 
28750584              1   00:08:54 
28750585              1   00:08:54 
28750586              1   00:08:55 
28750587              1   00:08:55 
28750588              1   00:08:54 
28750589              1   00:08:54 
28750590              1   00:08:54 
28750591              1   00:09:03 
28750592              1   00:08:59 
28750593              1   00:08:54 
28750594              1   00:08:57 
28750595              1   00:08:54 
28750596              1   00:08:54 
28750597              1   00:08:56 
28750598              1   00:09:20 
28750599              1   00:09:07 
28750600              1   00:09:16 
28750601              1   00:09:16 
28750602              1   00:09:07 
28750603              1   00:09:07 
28750604              1   00:09:09 
28750605              1   00:09:23 
28750606              1   00:09:07 
28750607              1   00:09:08 
28750608              1   00:09:16 
28750609              1   00:09:07 
28750610              1   00:09:07 
28750611              1   00:09:12 
28750612              1   00:09:08 
28750613              1   00:09:21 
28750614              1   00:09:08 
28750615              1   00:09:21 
28750616              1   00:09:08 
28750617              1   00:09:07 
28750618              1   00:09:07 
28750619              1   00:09:09 
28750620              1   00:09:10 
28750621              1   00:09:11 
28750622              1   00:09:09 
28750623              1   00:09:12 
28750624              1   00:09:18 
28750625              1   00:09:09 
28750626              1   00:09:10 
28750627              1   00:09:20 
28750628              1   00:09:36 
28750629              1   00:09:20 
28750630              1   00:09:27 
28750631              1   00:09:21 
28750632              1   00:09:25 
28750633              1   00:09:21 
28750634              1   00:09:21 
28750635              1   00:09:33 
28750636              1   00:09:20 
28750637              1   00:09:24 
28750638              1   00:09:20 
28750639              1   00:09:21 
28750640              1   00:09:24 
28750641              1   00:09:33 
28750642              1   00:09:24 
28750643              1   00:09:23 
28750644              1   00:09:15 
28750645              1   00:09:14 
28750646              1   00:09:14 
28750647              1   00:09:16 
28750648              1   00:09:14 
28750649              1   00:09:18 
28750650              1   00:09:13 
28750651              1   00:09:25 
28750652              1   00:09:14 
28750653              1   00:09:14 
28750654              1   00:09:15 
28750655              1   00:09:14 
28750656              1   00:09:13 
28750657              1   00:09:13 
28750658              1   00:09:13 
28750659              1   00:09:13 
